f;Z', Om·cm;"Z"", Om·cm";logf;ω;Cu;φ;σu;σspec, Sm/cm;logσspec;ε';"ε""";β';"β""";tanδ;M';"M"""
10000000;232.07340414557748;585.7318714437522;7.0;62831853.071795866;2.4597101246505425e-10;68.3859849736;0.006123367345749775;0.0005846562915751427;-3.233099372448439;265.24959214575614;105.09480326853445;0.003770034072099513;0.009515218344762833;0.39621098912297015;0.003258503876168376;0.0012910550438377045
6812790;132.46001726451593;2200.0520189640033;6.833325002289346;42806022.02890001;1.1081037145294592e-10;86.5545135579;0.00028558614824525196;2.7267633792081983e-05;-4.5643525472665845;119.49540532785139;7.194540545550849;0.008368522599311399;0.13899428235461214;0.060207675147104435;0.008338296573189708;0.00050202945135882
4641420;129.49265014588175;4225.371631768109;6.666650869308781;29162901.948449474;8.491537587018356e-11;88.2446370374;7.589222416092052e-05;7.2461545799813925e-06;-5.139892405532387;91.57082613411522;2.8063209548250945;0.010920508662173622;0.3563384288887675;0.030646452296006797;0.0109102616894254;0.000334360814401926
3162100;139.58766979993243;6929.886344731528;6.499975600182359;19868060.25983257;7.603821852810127e-11;88.8460556843;3.0430448092106556e-05;2.9054851567658867e-06;-5.536781338897084;81.99789987421472;1.651671499725474;0.012195434292024626;0.6054472697302163;0.02014285124691179;0.012190488190925776;0.00024555119025705273
2154280;178.86838674348567;10644.262484773835;6.333302149543218;13535740.443550838;7.26723950660465e-11;89.0372804904;1.6529872577982892e-05;1.578264614217715e-06;-5.8018201805561445;78.36827176642504;1.316916635867172;0.012760266080391292;0.7593495083623979;0.016804206679358887;0.012756663836281061;0.00021436561564397018
1467660;205.17104561684604;16026.253508090122;6.166625458014593;9221579.74793519;7.085674182017592e-11;89.2665289597;8.36508904515812e-06;7.986948461017336e-07;-6.0976191180175086;76.41031225681124;0.9782188740322718;0.013087238756976283;1.0222661068457464;0.01280218396104085;0.013085094163506327;0.00016751778262874995
1000000;303.1323887110639;23698.924772126556;6.0;6283185.307179586;7.032506251488254e-11;89.2671709975;5.651889920457598e-06;5.396398443381415e-07;-6.267895991658868;75.83696128562131;0.9700287860374539;0.01318618234496165;1.0308972418076146;0.012790976452551658;0.013184025318726887;0.00016863655740168048
681279;475.95678252628943;34857.89645709382;5.833325002289346;4280602.202890001;7.017827340106803e-11;89.2177204279;4.101794460136132e-06;3.9163744431096435e-07;-6.407115792149261;75.67866721600501;1.0333318592056708;0.013213763360099365;0.9677433160424442;0.013654202659995248;0.013211300281602237;0.00018038977144704924
464142;774.4496821596424;51138.1312095795;5.666650869308781;2916290.1948449477;7.021251052549551e-11;89.1323635539;3.1009416366631134e-06;2.9607647807391487e-07;-6.528596093956452;75.71558775879427;1.1466573276605057;0.013207320045981566;0.872100126059695;0.015144270309482248;0.013204291655908579;0.0001999693620823205
316210;1293.1417261250897;74893.55204349302;5.499975600182359;1986806.025983257;7.03655898924501e-11;89.0108066772;2.4138901247615983e-06;2.3047711641741601e-07;-6.637372188309032;75.88066509552478;1.3101856109610452;0.013178587704010217;0.7632506353557659;0.017266395982582342;0.013174659963316572;0.00022747889586249772
215428;2177.7594064595532;109559.65253108305;5.333302149543218;1353574.044355084;7.05968724932383e-11;88.8612596854;1.8994450396856458e-06;1.8135813683041931e-07;-6.74146295455128;76.1300750358046;1.5132668203439048;0.013135413297959996;0.660821995537271;0.019877385115306966;0.01313022540883425;0.0002609945471021873
146766;3743.4935934692735;159988.1243809611;5.166625458014593;922157.9747935191;7.09510627194295e-11;88.6596051804;1.5309238129838578e-06;1.4617189997664976e-07;-6.8351361079391895;76.51202578722729;1.7902721184218473;0.013069840848037476;0.5585743025934602;0.023398571662452447;0.013062689115150029;0.00030564826736517546
99989;6220.5663672472;233639.74795020427;4.9999522249793165;628249.4156795796;7.130223033911772e-11;88.4748827143;1.1926648144428302e-06;1.1387508671814299e-07;-6.943571279294935;76.89071702796986;2.0471850894123196;0.013005471123858019;0.48847561716418497;0.026624606565544617;0.01299625847034292;0.000346020268597007
68120;10564.128048392844;341155.14543747844;4.833274639290563;428010.5831250734;7.165838513094676e-11;88.2263594512;9.497367761514415e-07;9.068042960098505e-08;-7.042486431058806;77.27478632266705;2.392872417556595;0.012940831642347349;0.4179077800650642;0.030965759097216588;0.012928434847540462;0.000400338798992998
46409;18006.692793957478;497519.951190173;4.666602210540106;291596.3469208974;7.209889101591973e-11;87.9272039958;7.609114471652678e-07;7.265147422937245e-08;-7.138755568658657;77.74981793373337;2.8139918468992566;0.01286176645265338;0.3553670566252358;0.036192905934488984;0.012844940525439101;0.00046489572417132295
31618;31155.92162425482;725032.4354124274;4.499934395120714;198661.75304240416;7.257996766392126e-11;87.5394131756;6.196039827471642e-07;5.9159502663119974e-08;-7.227975485648278;78.26860014060576;3.3633396969802027;0.012776515718992652;0.2973235206951759;0.042971762506779546;0.012752966443485095;0.0005480174452663707
21540;54433.77411820084;1055448.596164862;4.333245698961963;135339.81151664827;7.312626518185396e-11;87.0476395555;5.104230996695484e-07;4.873496227434764e-08;-7.312159365785834;78.8577150626028;4.067012893657466;0.01268106740356514;0.24588070560570552;0.05157406463563883;0.01264742671379883;0.000652279202811966
14675;95702.83613134429;1534269.2289805089;4.166578109919652;92205.74438286043;7.374687628888477e-11;86.4306958887;4.24155244272327e-07;4.0498147206623775e-08;-7.392564845337077;79.52696808299453;4.960639404550139;0.012574350866191675;0.20158691621139638;0.0623768203934696;0.012525615353708741;0.0007813080592359752
9997;172525.89515470984;2228207.8620719197;3.999869692108268;62813.00351587433;7.438554577280071e-11;85.572530431;3.6177345828894405e-07;3.454196303612908e-08;-7.46165298490599;80.21569484972568;6.210948626012557;0.01246638830310425;0.1610060008887889;0.07742809730250434;0.012392096319417352;0.0009594964396018529
6811;316605.72634428414;3229438.1967428084;3.833210880282609;42794.77512720016;7.506158721837364e-11;84.4007636678;3.1492002705867255e-07;3.006841901958807e-08;-7.521889406256629;80.94472269701042;7.935610208943292;0.012354109899704846;0.12601425393513127;0.09803740064250516;0.012236500828643408;0.0011996347342000601
4640;594067.9187617688;4663841.477646695;3.6665179805548807;29153.97982531328;7.579807622921758e-11;82.7409047565;2.814805245482074e-07;2.6875630733996112e-08;-7.570641334664069;81.73893583533273;10.411691676536089;0.012234071679310229;0.09604587141718879;0.1273773822736202;0.012038743102391647;0.0015334635822472492
3161;1127207.0168744866;6699378.946951562;3.49982449583958;19861.148755994673;7.654675111350216e-11;80.4491304036;2.5579983868020033e-07;2.4423650684960404e-08;-7.612189420086688;82.54628994472995;13.888863128871787;0.012114414841291648;0.07200013354017634;0.16825544961707273;0.011780898817152803;0.0019822004273732856
2153;2164698.9937026966;9525820.896008799;3.3330440298234874;13527.69796635765;7.728515546352805e-11;77.197222699;2.3758284939561108e-07;2.2684300945280867e-08;-7.644274599703449;83.342568541627;18.93921544653944;0.011998670277368896;0.05280049761420922;0.22724540145507868;0.011409479371828563;0.0025927517202446204
1467;4130790.0450604986;13244493.31241079;3.166430113843283;9217.432845632453;7.818606855431408e-11;72.6779597338;2.247693716592384e-07;2.1460875997449153e-08;-7.668352554826091;84.3140928992938;26.296499789867276;0.011860413432834024;0.038027874735835604;0.31188735934425893;0.010808983358926614;0.0033711852770116598
999;7710088.063642393;17756392.562603686;2.9995654882259823;6276.9021218724065;7.906329057035868e-11;66.5288018972;2.1548886944707988e-07;2.0574777924126537e-08;-7.686664843690269;85.26006933629435;37.02118212229333;0.011728819924549487;0.02701156318284667;0.43421477850632934;0.009868237932067194;0.004284934747920314
681;13637205.90822475;22318078.281007923;2.833147111912785;4278.849194189298;7.985809681398889e-11;58.5734620066;2.0879232843165234e-07;1.9935395274777855e-08;-7.70037514881759;86.11717046315077;52.62090987641431;0.011612086121987676;0.01900385231552636;0.6110385373022748;0.008455188504916923;0.0051664460166594445
